message_id,author_id,message_time
971172386412048454,143216417192411136,"2022-05-03 22:12:20.431000+00:00"
971172402824376340,179402663509753856,"2022-05-03 22:12:24.344000+00:00"
971172412718743632,143216417192411136,"2022-05-03 22:12:26.703000+00:00"
971172439172214854,711536495579889704,"2022-05-03 22:12:33.010000+00:00"
971172439256105020,893901421022441523,"2022-05-03 22:12:33.030000+00:00"
971172497468825702,701262009810944050,"2022-05-03 22:12:46.909000+00:00"
971172515227500585,611871985512873985,"2022-05-03 22:12:51.143000+00:00"
971172518662635580,820675709907238912,"2022-05-03 22:12:51.962000+00:00"
971172528926117918,793508489963765760,"2022-05-03 22:12:54.409000+00:00"
971172592474013736,445948414321098792,"2022-05-03 22:13:09.560000+00:00"
971172634781970452,696166781496066128,"2022-05-03 22:13:19.647000+00:00"
971172638351298591,890337713587384430,"2022-05-03 22:13:20.498000+00:00"
971172645498396712,701262009810944050,"2022-05-03 22:13:22.202000+00:00"
971172647415197696,356348172122980352,"2022-05-03 22:13:22.659000+00:00"
971172649319411832,958735154975748127,"2022-05-03 22:13:23.113000+00:00"
971172667417841704,934142709013307462,"2022-05-03 22:13:27.428000+00:00"
971172677744209940,922220490259574785,"2022-05-03 22:13:29.890000+00:00"
971172708740124672,849536069589925908,"2022-05-03 22:13:37.280000+00:00"
971172729292193842,268159238855983109,"2022-05-03 22:13:42.180000+00:00"
971172751777857556,268159238855983109,"2022-05-03 22:13:47.541000+00:00"
971172835290673213,585260349981196309,"2022-05-03 22:14:07.452000+00:00"
971172867100258385,814229497427525673,"2022-05-03 22:14:15.036000+00:00"
971172878592671784,701262009810944050,"2022-05-03 22:14:17.776000+00:00"
971172900163960863,890337713587384430,"2022-05-03 22:14:22.919000+00:00"
971172936704745522,769782314594074636,"2022-05-03 22:14:31.631000+00:00"
971172969760059393,696471666875695214,"2022-05-03 22:14:39.512000+00:00"
971173008305709197,587854593044774924,"2022-05-03 22:14:48.702000+00:00"
971173026576085034,747474621149872128,"2022-05-03 22:14:53.058000+00:00"
971173072684081189,411028540532719618,"2022-05-03 22:15:04.051000+00:00"
971173072814092339,701262009810944050,"2022-05-03 22:15:04.082000+00:00"
971173087489953842,258619148391677953,"2022-05-03 22:15:07.581000+00:00"
971173135426670702,890337713587384430,"2022-05-03 22:15:19.010000+00:00"
971173145916633098,587854593044774924,"2022-05-03 22:15:21.511000+00:00"
971173148491911248,280196392008417290,"2022-05-03 22:15:22.125000+00:00"
971173154884055060,769782314594074636,"2022-05-03 22:15:23.649000+00:00"
971173155727093780,281839151865921536,"2022-05-03 22:15:23.850000+00:00"
971173158377893938,258619148391677953,"2022-05-03 22:15:24.482000+00:00"
971173183174627379,883339168179163206,"2022-05-03 22:15:30.394000+00:00"
971173189524815883,844643447222960169,"2022-05-03 22:15:31.908000+00:00"
971173201298202685,839515276559122492,"2022-05-03 22:15:34.715000+00:00"
971173209170927686,463496847298920448,"2022-05-03 22:15:36.592000+00:00"
971173221648986114,886485013762293763,"2022-05-03 22:15:39.567000+00:00"
971173233065877524,564449000887943170,"2022-05-03 22:15:42.289000+00:00"
971173261893320735,250330324922400768,"2022-05-03 22:15:49.162000+00:00"
971173264233746492,930600112340742225,"2022-05-03 22:15:49.720000+00:00"
971173265433325640,769782314594074636,"2022-05-03 22:15:50.006000+00:00"
971173268583239790,250330324922400768,"2022-05-03 22:15:50.757000+00:00"
971173330986106980,587854593044774924,"2022-05-03 22:16:05.635000+00:00"
971173360530776104,771908351701286942,"2022-05-03 22:16:12.679000+00:00"
971173437185880114,927091605708619776,"2022-05-03 22:16:30.955000+00:00"
971173442709774356,927756323670609970,"2022-05-03 22:16:32.272000+00:00"
971173461546389514,927756323670609970,"2022-05-03 22:16:36.763000+00:00"
971173484791214121,528803129198903296,"2022-05-03 22:16:42.305000+00:00"
971173496661082163,747991714383528057,"2022-05-03 22:16:45.135000+00:00"
971173512918212698,830217381775015977,"2022-05-03 22:16:49.011000+00:00"
971173560674553896,756007885238042626,"2022-05-03 22:17:00.397000+00:00"
971173565586079765,281839151865921536,"2022-05-03 22:17:01.568000+00:00"
971173624578994186,748019563475763392,"2022-05-03 22:17:15.633000+00:00"
971173688772821052,748019563475763392,"2022-05-03 22:17:30.938000+00:00"
971173705898156052,404082161780654080,"2022-05-03 22:17:35.021000+00:00"
971173709245218886,907865841960386590,"2022-05-03 22:17:35.819000+00:00"
971173710801277039,706903797892382740,"2022-05-03 22:17:36.190000+00:00"
971173748751360030,857971736053415977,"2022-05-03 22:17:45.238000+00:00"
971173779659174009,402941979953987584,"2022-05-03 22:17:52.607000+00:00"
971173846474428468,769782314594074636,"2022-05-03 22:18:08.537000+00:00"
971173876048474162,748019563475763392,"2022-05-03 22:18:15.588000+00:00"
971173878556659783,805597321081126953,"2022-05-03 22:18:16.186000+00:00"
971173890392985640,769782314594074636,"2022-05-03 22:18:19.008000+00:00"
971173892032954418,967543769668911124,"2022-05-03 22:18:19.399000+00:00"
971173914568966144,849536069589925908,"2022-05-03 22:18:24.772000+00:00"
971173976044879942,748019563475763392,"2022-05-03 22:18:39.429000+00:00"
971173982940328006,232671157176762369,"2022-05-03 22:18:41.073000+00:00"
971174045594845254,769782314594074636,"2022-05-03 22:18:56.011000+00:00"
971174101299380224,584795736831426571,"2022-05-03 22:19:09.292000+00:00"
971174122501574666,813681903764111391,"2022-05-03 22:19:14.347000+00:00"
971174172640305202,793508489963765760,"2022-05-03 22:19:26.301000+00:00"
971174174292869140,653525729618821121,"2022-05-03 22:19:26.695000+00:00"
971174250062942260,768982210706669609,"2022-05-03 22:19:44.760000+00:00"
971174290999365752,748019563475763392,"2022-05-03 22:19:54.520000+00:00"
971174306090455071,765166955651923988,"2022-05-03 22:19:58.118000+00:00"
971174327951196240,771908351701286942,"2022-05-03 22:20:03.330000+00:00"
971174337287716886,814229497427525673,"2022-05-03 22:20:05.556000+00:00"
971174378991657021,748019563475763392,"2022-05-03 22:20:15.499000+00:00"
971174420561412156,793508489963765760,"2022-05-03 22:20:25.410000+00:00"
971174478761562162,748019563475763392,"2022-05-03 22:20:39.286000+00:00"
971174588589412352,848829105738743828,"2022-05-03 22:21:05.471000+00:00"
971174592196522025,748019563475763392,"2022-05-03 22:21:06.331000+00:00"
971174600807440445,814229497427525673,"2022-05-03 22:21:08.384000+00:00"
971174618972958740,793508489963765760,"2022-05-03 22:21:12.715000+00:00"
971174626682110022,748019563475763392,"2022-05-03 22:21:14.553000+00:00"
971174649750753290,356348172122980352,"2022-05-03 22:21:20.053000+00:00"
971174666221805628,849536069589925908,"2022-05-03 22:21:23.980000+00:00"
971174666276335658,748019563475763392,"2022-05-03 22:21:23.993000+00:00"
971174704167682068,748019563475763392,"2022-05-03 22:21:33.027000+00:00"
971174717534920735,769782314594074636,"2022-05-03 22:21:36.214000+00:00"
971174763760320554,748019563475763392,"2022-05-03 22:21:47.235000+00:00"
971174789408497754,793508489963765760,"2022-05-03 22:21:53.350000+00:00"
971174803635597382,814229497427525673,"2022-05-03 22:21:56.742000+00:00"
971174810455531570,250721933442678784,"2022-05-03 22:21:58.368000+00:00"
971174826423226398,748019563475763392,"2022-05-03 22:22:02.175000+00:00"
971174829325705216,883029439657693225,"2022-05-03 22:22:02.867000+00:00"
971174848174915604,748019563475763392,"2022-05-03 22:22:07.361000+00:00"
971174876817805342,728937965455409293,"2022-05-03 22:22:14.190000+00:00"
971174913681551481,622482529781415967,"2022-05-03 22:22:22.979000+00:00"
971174923773026354,804752842602709073,"2022-05-03 22:22:25.385000+00:00"
